,Dataset,Algorithm,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS,Battery,median_internal,median_reference
231,sonar,Genie_g0.3,-0.004428802401093355,9.996837306549108e-06,0.0034364261168384758,0.14886677318879823,0.13830706931885928,35.62300090497169,0.8640278989707472,-2.242985409226416,-3857.3376889600827,uci,0.14358692125382877,9.996837306549108e-06
232,sonar,Genie_g0.5,0.006581874077350922,0.07590480268555348,0.15956162347914926,0.03297361468833682,0.08615150732867066,5.638650957391063,1.0380831595288584,-3.396532583622864,-4403.834099745903,uci,0.05956256100850374,0.07590480268555348
233,sonar,Genie_g0.7,0.006581874077350922,0.07590480268555348,0.15956162347914926,0.03297361468833682,0.08615150732867066,5.638650957391063,1.0380831595288584,-3.396532583622864,-4403.834099745903,uci,0.05956256100850374,0.07590480268555348
234,sonar,Genie_g0.9,0.0013276136573585637,0.0015024320394006116,0.018110894399554267,0.2643501409592815,0.3168274408423951,24.13941624640062,1.3785796119734748,-1.2944225402276162,-4049.812601038775,uci,0.29058879090083833,0.0015024320394006116
235,sonar,Agg_single,0.0013877949064176138,0.010205289934459304,0.010309278350515427,0.1170716318497924,0.1176371952886802,1.4807885296242536,1.6380215734902177,-inf,-4492.085819200123,uci,0.1173544135692363,0.010205289934459304
236,sonar,Agg_average,0.006599156023768518,0.008105186396250946,0.05033899879260706,0.2504645300143834,0.27429087837183064,28.341586381680976,1.3464331944380212,-1.4377458144811173,-3977.1921079017,uci,0.262377704193107,0.008105186396250946
237,sonar,Agg_complete,-0.0044211045726708755,0.0017663104992795573,0.04467353951890041,0.19884511858968057,0.22539805937335758,55.05110512481285,0.7920266931025254,-1.67816359813757,-3570.2645559181487,uci,0.21212158898151906,0.0017663104992795573
238,sonar,Agg_ward,-0.004416943633461022,0.0019152745563517717,0.045973808860406695,0.1961430271897345,0.2268023370475279,54.04940993777223,0.7884790103288509,-1.6704740507360532,-3584.017007127256,uci,0.21147268211863118,0.0019152745563517717
239,sonar,SC,-0.004489580123458017,0.045009319413250544,0.054054054054053946,0.24301723556655258,0.4217778712691889,12.578087981093907,1.6452900435664013,-0.9804431498706719,-4264.020774081438,uci,0.33239755341787075,0.045009319413250544
240,statlog,K-means,0.24086370413441785,0.4261878570727779,0.31616161616161614,0.3256642689337527,0.36026120511992027,1041.4048569517997,0.006853330045262801,-1.0195919521604442,-5035.295144405654,uci,0.16625879948950775,0.31616161616161614
241,statlog,GMM,0.3545290443850927,0.5515819895904507,0.4353535353535354,0.0857868463023505,0.243615083648801,517.2983358554451,0.010429187908590954,-2.4988975215836313,-7963.8694150264155,uci,0.04810801710547073,0.4353535353535354
242,statlog,Genie_g0.1,0.6205271782333466,0.6820818200347026,0.73989898989899,0.22114353316604315,0.23756554313517578,476.8394461958485,0.24786644221638776,-1.5636942097477602,-8338.238538332822,uci,0.22935453815060947,0.6820818200347026
243,statlog,Genie_g0.3,0.5214194317086194,0.6814055741074052,0.594949494949495,0.11100012283227104,0.17922497906012205,362.9413749251407,0.21556556509255828,-1.9221264176083512,-9609.986599439428,uci,0.14511255094619654,0.594949494949495
244,statlog,Genie_g0.5,0.46575733110695994,0.6995991643077498,0.5060606060606062,0.11893019361809215,0.20017515186102353,346.641784208357,0.3048473335864024,-1.8633962132825324,-9824.420800691594,uci,0.15955267273955784,0.5060606060606062
245,statlog,Genie_g0.7,0.22352851783383526,0.5595454621420871,0.3045454545454545,0.1305480149136149,0.24407499281215017,275.2323880852611,0.3347584588264934,-1.5518988485955085,-10888.89120756769,uci,0.18731150386288253,0.3045454545454545
246,statlog,Genie_g0.9,0.09526660855000839,0.3548325485000782,0.17676767676767677,-0.0015916108895335655,0.25233368774635073,381.97584347229355,0.08630215401553855,-1.192894153819026,-9371.126850554458,uci,0.04235527156300249,0.17676767676767677
247,statlog,Agg_single,2.2628552644717634e-05,0.006861201201614071,0.0010101010101010166,0.7368980214337342,0.8708882663630834,84.8002798201288,2.7295250287942605,-inf,-15313.658128091287,uci,0.8038931438984087,0.0010101010101010166
248,statlog,Agg_average,0.0001317530426524568,0.01530100029741963,0.0035353535353535395,0.5115467107748959,0.47881667670974465,111.32907203963585,0.7287895889022422,-inf,-14493.214471237343,uci,0.49518169374232024,0.0035353535353535395
249,statlog,Agg_complete,0.1029586771881616,0.35041343781964446,0.17020202020202016,0.48753287405037005,0.5158958422637927,435.049766094977,0.4459215156391895,-inf,-8763.75998500198,uci,0.46672719484477976,0.17020202020202016
250,statlog,Agg_ward,0.3081352227498294,0.48954804420981723,0.4055555555555555,0.29972217732724515,0.3287703420529037,992.7983905090651,0.04776784378394268,-1.1017784682012197,-5213.0826384949805,uci,0.1737450105555939,0.4055555555555555
251,statlog,SC,8.181723983679067e-05,0.01195077620334869,0.002525252525252523,0.5471484238881837,0.5135285325803562,59.558120154222976,0.8664351003258964,-inf,-16185.46068652546,uci,0.5303384782342699,0.002525252525252523
252,wdbc,K-means,0.49142453622455523,0.46479332792160793,0.610406426721632,0.6972646175374964,0.620719264408496,1300.2082641382913,0.1848303474070324,-0.5044035564715988,-1495.3755445459317,uci,0.4027748059077642,0.49142453622455523
253,wdbc,GMM,0.7055281519454777,0.6143697556543123,0.7973151524760849,0.6053473417491013,0.5081723220825866,885.6063423104862,0.032278766829162996,-0.620858321596198,-1922.1846232099465,uci,0.27022554445587477,0.7055281519454777
254,wdbc,Genie_g0.1,0.08744211856749266,0.23890878420811032,0.44994979123724965,0.20827463611371538,0.3921268621575798,219.82392433821985,0.047140682938765444,-0.8043481498308355,-3548.668880543886,uci,0.1277076595262404,0.23890878420811032
255,wdbc,Genie_g0.3,0.2829798784255069,0.31562395180615405,0.40094339622641506,0.6884092863592062,0.6477509136978128,1070.9065721565123,0.21554506997959283,-0.4802956206147763,-1704.7233476145145,uci,0.43164799183870284,0.31562395180615405
256,wdbc,Genie_g0.5,0.2829798784255069,0.31562395180615405,0.40094339622641506,0.6884092863592062,0.6477509136978128,1070.9065721565123,0.21554506997959283,-0.4802956206147763,-1704.7233476145145,uci,0.43164799183870284,0.31562395180615405
257,wdbc,Genie_g0.7,0.2829798784255069,0.31562395180615405,0.40094339622641506,0.6884092863592062,0.6477509136978128,1070.9065721565123,0.21554506997959283,-0.4802956206147763,-1704.7233476145145,uci,0.43164799183870284,0.31562395180615405
